"year","weeknum","month","MOI_County_living","Imported","Number_of_confirmed_cases"
1998,41,10,"Pingtung County","N",1
2002,41,10,"Pingtung County","N",14
2004,41,10,"Pingtung County","N",28
2009,41,10,"Pingtung County","N",2
2011,41,10,"Pingtung County","N",2
2013,41,10,"Pingtung County","N",9
2014,41,10,"Pingtung County","N",15
2015,41,10,"Pingtung County","N",11
2002,42,10,"Pingtung County","N",26
2004,42,10,"Pingtung County","N",29
2005,42,10,"Pingtung County","N",1
2009,42,10,"Pingtung County","N",5
2011,42,10,"Pingtung County","N",9
2013,42,10,"Pingtung County","N",24
2014,42,10,"Pingtung County","N",12
2015,42,10,"Pingtung County","N",13
2002,43,10,"Pingtung County","N",20
2004,43,10,"Pingtung County","N",25
2009,43,10,"Pingtung County","N",3
2011,43,10,"Pingtung County","N",20
2013,43,10,"Pingtung County","N",22
2014,43,10,"Pingtung County","N",25
2015,43,10,"Pingtung County","N",22
2002,44,10,"Pingtung County","N",38
2004,44,10,"Pingtung County","N",32
2007,44,10,"Pingtung County","N",1
2009,44,10,"Pingtung County","N",12
2010,44,10,"Pingtung County","N",2
2011,44,10,"Pingtung County","N",16
2013,44,10,"Pingtung County","N",10
2014,44,10,"Pingtung County","N",15
2015,44,10,"Pingtung County","N",25
2004,45,10,"Pingtung County","N",3
2011,45,10,"Pingtung County","N",3
2001,44,11,"Pingtung County","N",1
2002,44,11,"Pingtung County","N",6
2013,44,11,"Pingtung County","N",3
2014,44,11,"Pingtung County","N",2
2002,45,11,"Pingtung County","N",40
2004,45,11,"Pingtung County","N",20
2009,45,11,"Pingtung County","N",10
2011,45,11,"Pingtung County","N",13
2013,45,11,"Pingtung County","N",26
2014,45,11,"Pingtung County","N",16
2015,45,11,"Pingtung County","N",25
1998,46,11,"Pingtung County","N",1
2002,46,11,"Pingtung County","N",27
2004,46,11,"Pingtung County","N",18
2006,46,11,"Pingtung County","N",1
2009,46,11,"Pingtung County","N",17
2010,46,11,"Pingtung County","N",2
2011,46,11,"Pingtung County","N",26
2013,46,11,"Pingtung County","N",35
2014,46,11,"Pingtung County","N",15
2015,46,11,"Pingtung County","N",39
1998,47,11,"Pingtung County","N",1
2002,47,11,"Pingtung County","N",31
2004,47,11,"Pingtung County","N",18
2009,47,11,"Pingtung County","N",5
2010,47,11,"Pingtung County","N",1
2011,47,11,"Pingtung County","N",15
2012,47,11,"Pingtung County","N",1
2013,47,11,"Pingtung County","N",23
2014,47,11,"Pingtung County","N",11
2015,47,11,"Pingtung County","N",38
1998,48,11,"Pingtung County","N",1
2002,48,11,"Pingtung County","N",34
2004,48,11,"Pingtung County","N",12
2009,48,11,"Pingtung County","N",4
2010,48,11,"Pingtung County","N",3
2011,48,11,"Pingtung County","N",17
2013,48,11,"Pingtung County","N",48
2014,48,11,"Pingtung County","N",14
2015,48,11,"Pingtung County","N",38
2004,49,11,"Pingtung County","N",2
2009,49,11,"Pingtung County","N",1
2011,49,11,"Pingtung County","N",5
2014,49,11,"Pingtung County","N",4
2015,49,11,"Pingtung County","N",8
2002,49,12,"Pingtung County","N",18
2004,49,12,"Pingtung County","N",5
2009,49,12,"Pingtung County","N",4
2011,49,12,"Pingtung County","N",2
2013,49,12,"Pingtung County","N",44
2014,49,12,"Pingtung County","N",8
2015,49,12,"Pingtung County","N",24
2002,50,12,"Pingtung County","N",9
2004,50,12,"Pingtung County","N",3
2009,50,12,"Pingtung County","N",4
2011,50,12,"Pingtung County","N",6
2013,50,12,"Pingtung County","N",41
2014,50,12,"Pingtung County","N",7
2015,50,12,"Pingtung County","N",27
2002,51,12,"Pingtung County","N",12
2004,51,12,"Pingtung County","N",1
2009,51,12,"Pingtung County","N",4
2011,51,12,"Pingtung County","N",1
2013,51,12,"Pingtung County","N",28
2014,51,12,"Pingtung County","N",11
2015,51,12,"Pingtung County","N",20
2002,52,12,"Pingtung County","N",5
2004,52,12,"Pingtung County","N",2
2009,52,12,"Pingtung County","N",1
2011,52,12,"Pingtung County","N",5
2013,52,12,"Pingtung County","N",12
2014,52,12,"Pingtung County","N",3
2015,52,12,"Pingtung County","N",15
2002,53,12,"Pingtung County","N",1
2004,53,12,"Pingtung County","N",3
2011,53,12,"Pingtung County","N",2
2013,53,12,"Pingtung County","N",1
2014,53,12,"Pingtung County","N",1
2015,53,12,"Pingtung County","N",8
1999,1,1,"Tainan City","N",1
2006,1,1,"Tainan City","N",2
2008,1,1,"Tainan City","N",5
2012,1,1,"Tainan City","N",1
2013,1,1,"Tainan City","N",2
2016,1,1,"Tainan City","N",1
1999,2,1,"Tainan City","N",3
2003,2,1,"Tainan City","N",1
2008,2,1,"Tainan City","N",2
2012,2,1,"Tainan City","N",1
2013,2,1,"Tainan City","N",1
2016,2,1,"Tainan City","N",2
1999,3,1,"Tainan City","N",2
2003,3,1,"Tainan City","N",1
2008,3,1,"Tainan City","N",4
2011,3,1,"Tainan City","N",1
2013,3,1,"Tainan City","N",3
2015,3,1,"Tainan City","N",1
2016,3,1,"Tainan City","N",2
2008,4,1,"Tainan City","N",4
2012,4,1,"Tainan City","N",1
2013,4,1,"Tainan City","N",2
2014,4,1,"Tainan City","N",2
2016,4,1,"Tainan City","N",1
2008,5,1,"Tainan City","N",2
2013,5,1,"Tainan City","N",1
2014,5,1,"Tainan City","N",1
2014,6,2,"Tainan City","N",1
2011,7,2,"Tainan City","N",1
2011,8,2,"Tainan City","N",1
2013,8,2,"Tainan City","N",1
2016,12,3,"Tainan City","N",1
2008,13,3,"Tainan City","N",3
1999,15,4,"Tainan City","N",1
2012,17,4,"Tainan City","N",1
2012,18,4,"Tainan City","N",3
2012,18,5,"Tainan City","N",4
2012,19,5,"Tainan City","N",1
2012,20,5,"Tainan City","N",3
2015,20,5,"Tainan City","N",1
2012,21,5,"Tainan City","N",1
2015,21,5,"Tainan City","N",1
2015,23,5,"Tainan City","N",1
2012,22,6,"Tainan City","N",1
2007,23,6,"Tainan City","N",2
2007,24,6,"Tainan City","N",2
2012,24,6,"Tainan City","N",1
2015,24,6,"Tainan City","N",3
2007,25,6,"Tainan City","N",10
2012,25,6,"Tainan City","N",3
2015,25,6,"Tainan City","N",5
2007,26,6,"Tainan City","N",25
2015,26,6,"Tainan City","N",8
2000,27,6,"Tainan City","N",1
2015,27,6,"Tainan City","N",2
2007,27,7,"Tainan City","N",25
2012,27,7,"Tainan City","N",4
2015,27,7,"Tainan City","N",8
2007,28,7,"Tainan City","N",33
2008,28,7,"Tainan City","N",1
2012,28,7,"Tainan City","N",3
2015,28,7,"Tainan City","N",31
2000,29,7,"Tainan City","N",2
2007,29,7,"Tainan City","N",18
2012,29,7,"Tainan City","N",9
2014,29,7,"Tainan City","N",1
2015,29,7,"Tainan City","N",28
2016,29,7,"Tainan City","N",1
2007,30,7,"Tainan City","N",32
2012,30,7,"Tainan City","N",5
2014,30,7,"Tainan City","N",1
2015,30,7,"Tainan City","N",116
2016,30,7,"Tainan City","N",1
2000,31,7,"Tainan City","N",1
2007,31,7,"Tainan City","N",12
2012,31,7,"Tainan City","N",4
2014,31,7,"Tainan City","N",1
2015,31,7,"Tainan City","N",115
2007,31,8,"Tainan City","N",24
2012,31,8,"Tainan City","N",8
2014,31,8,"Tainan City","N",1
2015,31,8,"Tainan City","N",26
2000,32,8,"Tainan City","N",9
2002,32,8,"Tainan City","N",3
2007,32,8,"Tainan City","N",38
2012,32,8,"Tainan City","N",10
2014,32,8,"Tainan City","N",1
2015,32,8,"Tainan City","N",335
2000,33,8,"Tainan City","N",2
2002,33,8,"Tainan City","N",3
2007,33,8,"Tainan City","N",79
2010,33,8,"Tainan City","N",6
2012,33,8,"Tainan City","N",9
2014,33,8,"Tainan City","N",1
2015,33,8,"Tainan City","N",511
2000,34,8,"Tainan City","N",11
2001,34,8,"Tainan City","N",1
2005,34,8,"Tainan City","N",2
2007,34,8,"Tainan City","N",31
2008,34,8,"Tainan City","N",2
2010,34,8,"Tainan City","N",2
2012,34,8,"Tainan City","N",16
2014,34,8,"Tainan City","N",1
2015,34,8,"Tainan City","N",1099
1998,35,8,"Tainan City","N",1
2000,35,8,"Tainan City","N",7
2002,35,8,"Tainan City","N",1
2007,35,8,"Tainan City","N",16
2010,35,8,"Tainan City","N",7
2011,35,8,"Tainan City","N",1
2012,35,8,"Tainan City","N",31
2015,35,8,"Tainan City","N",1279
2000,36,8,"Tainan City","N",6
2010,36,8,"Tainan City","N",2
2015,36,8,"Tainan City","N",696
2007,35,9,"Tainan City","N",2
2012,35,9,"Tainan City","N",6
2000,36,9,"Tainan City","N",9
2002,36,9,"Tainan City","N",2
2006,36,9,"Tainan City","N",1
2007,36,9,"Tainan City","N",33
2010,36,9,"Tainan City","N",7
2011,36,9,"Tainan City","N",1
2012,36,9,"Tainan City","N",81
2015,36,9,"Tainan City","N",2128
2000,37,9,"Tainan City","N",16
2002,37,9,"Tainan City","N",10
2007,37,9,"Tainan City","N",42
2010,37,9,"Tainan City","N",10
2011,37,9,"Tainan City","N",1
2012,37,9,"Tainan City","N",82
2014,37,9,"Tainan City","N",2
2015,37,9,"Tainan City","N",2878
2016,37,9,"Tainan City","N",1
2000,38,9,"Tainan City","N",11
2002,38,9,"Tainan City","N",2
2007,38,9,"Tainan City","N",45
2010,38,9,"Tainan City","N",22
2011,38,9,"Tainan City","N",1
2012,38,9,"Tainan City","N",96
2014,38,9,"Tainan City","N",4
2015,38,9,"Tainan City","N",3416
2000,39,9,"Tainan City","N",3
2002,39,9,"Tainan City","N",6
2007,39,9,"Tainan City","N",57
2010,39,9,"Tainan City","N",38
2011,39,9,"Tainan City","N",1
2012,39,9,"Tainan City","N",40
2014,39,9,"Tainan City","N",2
2015,39,9,"Tainan City","N",3028
2000,40,9,"Tainan City","N",4
2007,40,9,"Tainan City","N",11
2010,40,9,"Tainan City","N",40
2011,40,9,"Tainan City","N",1
2012,40,9,"Tainan City","N",3
2014,40,9,"Tainan City","N",3
2015,40,9,"Tainan City","N",1364
2002,40,10,"Tainan City","N",2
2006,40,10,"Tainan City","N",1
2007,40,10,"Tainan City","N",95
2009,40,10,"Tainan City","N",1
2010,40,10,"Tainan City","N",12
2012,40,10,"Tainan City","N",34
2014,40,10,"Tainan City","N",6
2015,40,10,"Tainan City","N",873
2000,41,10,"Tainan City","N",6
2002,41,10,"Tainan City","N",6
2005,41,10,"Tainan City","N",4
2007,41,10,"Tainan City","N",93
2008,41,10,"Tainan City","N",1
2009,41,10,"Tainan City","N",1
2010,41,10,"Tainan City","N",52
2011,41,10,"Tainan City","N",5
2012,41,10,"Tainan City","N",54
2014,41,10,"Tainan City","N",7
2015,41,10,"Tainan City","N",1614
2000,42,10,"Tainan City","N",3
2002,42,10,"Tainan City","N",2
2005,42,10,"Tainan City","N",3
2006,42,10,"Tainan City","N",1
2007,42,10,"Tainan City","N",134
2009,42,10,"Tainan City","N",2
2010,42,10,"Tainan City","N",63
2011,42,10,"Tainan City","N",4
2012,42,10,"Tainan City","N",45
2014,42,10,"Tainan City","N",11
2015,42,10,"Tainan City","N",1038
1998,43,10,"Tainan City","N",2
2000,43,10,"Tainan City","N",6
2002,43,10,"Tainan City","N",10
2005,43,10,"Tainan City","N",4
2006,43,10,"Tainan City","N",2
2007,43,10,"Tainan City","N",171
2009,43,10,"Tainan City","N",1
2010,43,10,"Tainan City","N",57
2011,43,10,"Tainan City","N",13
2012,43,10,"Tainan City","N",41
2013,43,10,"Tainan City","N",1
2014,43,10,"Tainan City","N",6
2015,43,10,"Tainan City","N",777
1998,44,10,"Tainan City","N",1
2000,44,10,"Tainan City","N",5
2002,44,10,"Tainan City","N",6
2005,44,10,"Tainan City","N",9
2006,44,10,"Tainan City","N",1
2007,44,10,"Tainan City","N",58
2010,44,10,"Tainan City","N",46
2011,44,10,"Tainan City","N",6
2012,44,10,"Tainan City","N",20
2014,44,10,"Tainan City","N",10
2015,44,10,"Tainan City","N",516
2005,45,10,"Tainan City","N",2
2010,45,10,"Tainan City","N",7
2011,45,10,"Tainan City","N",1
2002,44,11,"Tainan City","N",4
2007,44,11,"Tainan City","N",45
2012,44,11,"Tainan City","N",14
2014,44,11,"Tainan City","N",3
1998,45,11,"Tainan City","N",2
2000,45,11,"Tainan City","N",3
2002,45,11,"Tainan City","N",4
2005,45,11,"Tainan City","N",3
2007,45,11,"Tainan City","N",189
2008,45,11,"Tainan City","N",1
2010,45,11,"Tainan City","N",31
2011,45,11,"Tainan City","N",5
2012,45,11,"Tainan City","N",25
2013,45,11,"Tainan City","N",3
2014,45,11,"Tainan City","N",23
2015,45,11,"Tainan City","N",324
1998,46,11,"Tainan City","N",6
2000,46,11,"Tainan City","N",3
2002,46,11,"Tainan City","N",7
2005,46,11,"Tainan City","N",4
2007,46,11,"Tainan City","N",128
2008,46,11,"Tainan City","N",1
2010,46,11,"Tainan City","N",25
2011,46,11,"Tainan City","N",11
2012,46,11,"Tainan City","N",20
2013,46,11,"Tainan City","N",2
2014,46,11,"Tainan City","N",14
2015,46,11,"Tainan City","N",203
1998,47,11,"Tainan City","N",15
2002,47,11,"Tainan City","N",5
2005,47,11,"Tainan City","N",8
2007,47,11,"Tainan City","N",106
2008,47,11,"Tainan City","N",1
2009,47,11,"Tainan City","N",2
2010,47,11,"Tainan City","N",27
2011,47,11,"Tainan City","N",6
2012,47,11,"Tainan City","N",18
2013,47,11,"Tainan City","N",5
2014,47,11,"Tainan City","N",18
2015,47,11,"Tainan City","N",151
1998,48,11,"Tainan City","N",33
2002,48,11,"Tainan City","N",5
2004,48,11,"Tainan City","N",3
2005,48,11,"Tainan City","N",4
2007,48,11,"Tainan City","N",87
2010,48,11,"Tainan City","N",12
2011,48,11,"Tainan City","N",7
2012,48,11,"Tainan City","N",9
2013,48,11,"Tainan City","N",11
2014,48,11,"Tainan City","N",16
2015,48,11,"Tainan City","N",80
1998,49,11,"Tainan City","N",3
2004,49,11,"Tainan City","N",1
2005,49,11,"Tainan City","N",3
2010,49,11,"Tainan City","N",3
2011,49,11,"Tainan City","N",2
2014,49,11,"Tainan City","N",2
2015,49,11,"Tainan City","N",23
2007,48,12,"Tainan City","N",19
2012,48,12,"Tainan City","N",1
1998,49,12,"Tainan City","N",14
2002,49,12,"Tainan City","N",1
2005,49,12,"Tainan City","N",3
2007,49,12,"Tainan City","N",59
2009,49,12,"Tainan City","N",1
2010,49,12,"Tainan City","N",3
2011,49,12,"Tainan City","N",5
2012,49,12,"Tainan City","N",9
2013,49,12,"Tainan City","N",1
2014,49,12,"Tainan City","N",9
2015,49,12,"Tainan City","N",25
1998,50,12,"Tainan City","N",20
2000,50,12,"Tainan City","N",1
2005,50,12,"Tainan City","N",7
2007,50,12,"Tainan City","N",39
2009,50,12,"Tainan City","N",2
2010,50,12,"Tainan City","N",7
2011,50,12,"Tainan City","N",9
2012,50,12,"Tainan City","N",10
2013,50,12,"Tainan City","N",4
2014,50,12,"Tainan City","N",3
2015,50,12,"Tainan City","N",24
1998,51,12,"Tainan City","N",14
2002,51,12,"Tainan City","N",1
2005,51,12,"Tainan City","N",4
2007,51,12,"Tainan City","N",32
2010,51,12,"Tainan City","N",6
2011,51,12,"Tainan City","N",3
2012,51,12,"Tainan City","N",14
2013,51,12,"Tainan City","N",1
2014,51,12,"Tainan City","N",3
2015,51,12,"Tainan City","N",17
1998,52,12,"Tainan City","N",11
1999,52,12,"Tainan City","N",1
2002,52,12,"Tainan City","N",2
2007,52,12,"Tainan City","N",11
2010,52,12,"Tainan City","N",1
2011,52,12,"Tainan City","N",8
2012,52,12,"Tainan City","N",2
2014,52,12,"Tainan City","N",2
2015,52,12,"Tainan City","N",6
1998,53,12,"Tainan City","N",5
2007,53,12,"Tainan City","N",1
2010,53,12,"Tainan City","N",1
2011,53,12,"Tainan City","N",1
2014,53,12,"Tainan City","N",1
2015,53,12,"Tainan City","N",9
2015,1,1,"Kaohsiung City","Y",1
2016,1,1,"Kaohsiung City","Y",1
2003,2,1,"Kaohsiung City","Y",1
2005,2,1,"Kaohsiung City","Y",1
2007,2,1,"Kaohsiung City","Y",2
2015,2,1,"Kaohsiung City","Y",1
2016,2,1,"Kaohsiung City","Y",1
2017,2,1,"Kaohsiung City","Y",1
1999,3,1,"Kaohsiung City","Y",1
2007,3,1,"Kaohsiung City","Y",1
2009,3,1,"Kaohsiung City","Y",2
2013,3,1,"Kaohsiung City","Y",2
2015,3,1,"Kaohsiung City","Y",1
2016,3,1,"Kaohsiung City","Y",1
2017,3,1,"Kaohsiung City","Y",3
2018,3,1,"Kaohsiung City","Y",1
2012,4,1,"Kaohsiung City","Y",1
2013,4,1,"Kaohsiung City","Y",1
2015,4,1,"Kaohsiung City","Y",2
2002,5,1,"Kaohsiung City","Y",1
2010,5,1,"Kaohsiung City","Y",2
2012,5,1,"Kaohsiung City","Y",1
2014,5,1,"Kaohsiung City","Y",2
2015,5,1,"Kaohsiung City","Y",1
2016,5,1,"Kaohsiung City","Y",2
2018,5,2,"Kaohsiung City","Y",1
2000,6,2,"Kaohsiung City","Y",1
2006,6,2,"Kaohsiung City","Y",1
2009,6,2,"Kaohsiung City","Y",1
2011,6,2,"Kaohsiung City","Y",1
2013,6,2,"Kaohsiung City","Y",1
2014,6,2,"Kaohsiung City","Y",2
2015,6,2,"Kaohsiung City","Y",2
2016,6,2,"Kaohsiung City","Y",1
2004,7,2,"Kaohsiung City","Y",1
2006,7,2,"Kaohsiung City","Y",1
2010,7,2,"Kaohsiung City","Y",1
2011,7,2,"Kaohsiung City","Y",1
2013,7,2,"Kaohsiung City","Y",2
2014,7,2,"Kaohsiung City","Y",1
2015,7,2,"Kaohsiung City","Y",1
2017,7,2,"Kaohsiung City","Y",3
1998,8,2,"Kaohsiung City","Y",1
2014,8,2,"Kaohsiung City","Y",1
2018,8,2,"Kaohsiung City","Y",1
2018,9,2,"Kaohsiung City","Y",1
2009,10,3,"Kaohsiung City","Y",1
2012,10,3,"Kaohsiung City","Y",1
2013,10,3,"Kaohsiung City","Y",1
2018,10,3,"Kaohsiung City","Y",1
2009,11,3,"Kaohsiung City","Y",2
2010,11,3,"Kaohsiung City","Y",1
2000,12,3,"Kaohsiung City","Y",1
2004,12,3,"Kaohsiung City","Y",1
2007,12,3,"Kaohsiung City","Y",1
2008,12,3,"Kaohsiung City","Y",1
2017,12,3,"Kaohsiung City","Y",1
2008,13,3,"Kaohsiung City","Y",1
2015,14,3,"Kaohsiung City","Y",2
2006,14,4,"Kaohsiung City","Y",1
2013,14,4,"Kaohsiung City","Y",1
2014,14,4,"Kaohsiung City","Y",1
2015,14,4,"Kaohsiung City","Y",3
2016,14,4,"Kaohsiung City","Y",1
2004,15,4,"Kaohsiung City","Y",1
2009,15,4,"Kaohsiung City","Y",1
1999,16,4,"Kaohsiung City","Y",1
2008,16,4,"Kaohsiung City","Y",1
2010,16,4,"Kaohsiung City","Y",1
2012,16,4,"Kaohsiung City","Y",1
2014,16,4,"Kaohsiung City","Y",1
2010,17,4,"Kaohsiung City","Y",1
2014,17,4,"Kaohsiung City","Y",3
2016,17,4,"Kaohsiung City","Y",1
2017,17,4,"Kaohsiung City","Y",1
2002,18,4,"Kaohsiung City","Y",1
2015,18,4,"Kaohsiung City","Y",3
2016,18,4,"Kaohsiung City","Y",1
2015,18,5,"Kaohsiung City","Y",1
2017,18,5,"Kaohsiung City","Y",1
2001,19,5,"Kaohsiung City","Y",1
2003,19,5,"Kaohsiung City","Y",1
2006,19,5,"Kaohsiung City","Y",2
2007,19,5,"Kaohsiung City","Y",1
2009,19,5,"Kaohsiung City","Y",1
2010,19,5,"Kaohsiung City","Y",1
2013,19,5,"Kaohsiung City","Y",1
2016,19,5,"Kaohsiung City","Y",1
2009,20,5,"Kaohsiung City","Y",1
2017,20,5,"Kaohsiung City","Y",1
2008,21,5,"Kaohsiung City","Y",1
2012,21,5,"Kaohsiung City","Y",3
2011,22,5,"Kaohsiung City","Y",1
2012,22,5,"Kaohsiung City","Y",1
2014,22,5,"Kaohsiung City","Y",1
2015,22,5,"Kaohsiung City","Y",2
2006,22,6,"Kaohsiung City","Y",1
2012,22,6,"Kaohsiung City","Y",1
1999,23,6,"Kaohsiung City","Y",1
2005,23,6,"Kaohsiung City","Y",1
2007,23,6,"Kaohsiung City","Y",1
2016,23,6,"Kaohsiung City","Y",1
2017,23,6,"Kaohsiung City","Y",2
2008,24,6,"Kaohsiung City","Y",1
2009,24,6,"Kaohsiung City","Y",1
2013,24,6,"Kaohsiung City","Y",1
2014,24,6,"Kaohsiung City","Y",1
2000,25,6,"Kaohsiung City","Y",1
2007,25,6,"Kaohsiung City","Y",1
2009,25,6,"Kaohsiung City","Y",1
2010,25,6,"Kaohsiung City","Y",1
2011,25,6,"Kaohsiung City","Y",1
2012,25,6,"Kaohsiung City","Y",1
2013,25,6,"Kaohsiung City","Y",1
2014,25,6,"Kaohsiung City","Y",1
2017,25,6,"Kaohsiung City","Y",1
2001,26,6,"Kaohsiung City","Y",1
2007,26,6,"Kaohsiung City","Y",1
2013,26,6,"Kaohsiung City","Y",2
2015,26,6,"Kaohsiung City","Y",1
2017,26,6,"Kaohsiung City","Y",2
2003,27,6,"Kaohsiung City","Y",1
2016,27,6,"Kaohsiung City","Y",1
2007,27,7,"Kaohsiung City","Y",1
2008,27,7,"Kaohsiung City","Y",1
2010,27,7,"Kaohsiung City","Y",1
2012,27,7,"Kaohsiung City","Y",1
2013,27,7,"Kaohsiung City","Y",1
2014,27,7,"Kaohsiung City","Y",1
2017,27,7,"Kaohsiung City","Y",2
2001,28,7,"Kaohsiung City","Y",1
2006,28,7,"Kaohsiung City","Y",1
2009,28,7,"Kaohsiung City","Y",2
2011,28,7,"Kaohsiung City","Y",1
2012,28,7,"Kaohsiung City","Y",3
2013,28,7,"Kaohsiung City","Y",1
2015,28,7,"Kaohsiung City","Y",1
2016,28,7,"Kaohsiung City","Y",1
2017,28,7,"Kaohsiung City","Y",2
2001,29,7,"Kaohsiung City","Y",2
2003,29,7,"Kaohsiung City","Y",1
2007,29,7,"Kaohsiung City","Y",1
2012,29,7,"Kaohsiung City","Y",2
2013,29,7,"Kaohsiung City","Y",3
2015,29,7,"Kaohsiung City","Y",2
2017,29,7,"Kaohsiung City","Y",2
2005,30,7,"Kaohsiung City","Y",1
2006,30,7,"Kaohsiung City","Y",2
2009,30,7,"Kaohsiung City","Y",1
2010,30,7,"Kaohsiung City","Y",1
2011,30,7,"Kaohsiung City","Y",1
2012,30,7,"Kaohsiung City","Y",1
2014,30,7,"Kaohsiung City","Y",2
2017,30,7,"Kaohsiung City","Y",1
2004,31,7,"Kaohsiung City","Y",1
2007,31,7,"Kaohsiung City","Y",1
2008,31,7,"Kaohsiung City","Y",1
2009,31,7,"Kaohsiung City","Y",1
2011,31,7,"Kaohsiung City","Y",2
2014,31,7,"Kaohsiung City","Y",1
2015,31,7,"Kaohsiung City","Y",2
2016,31,7,"Kaohsiung City","Y",1
2001,31,8,"Kaohsiung City","Y",1
2008,31,8,"Kaohsiung City","Y",1
2012,31,8,"Kaohsiung City","Y",1
2013,31,8,"Kaohsiung City","Y",1
2017,31,8,"Kaohsiung City","Y",1
2004,32,8,"Kaohsiung City","Y",1
2008,32,8,"Kaohsiung City","Y",1
2009,32,8,"Kaohsiung City","Y",1
2010,32,8,"Kaohsiung City","Y",3
2012,32,8,"Kaohsiung City","Y",2
2013,32,8,"Kaohsiung City","Y",1
2014,32,8,"Kaohsiung City","Y",1
2016,32,8,"Kaohsiung City","Y",1
1998,33,8,"Kaohsiung City","Y",1
2003,33,8,"Kaohsiung City","Y",1
2008,33,8,"Kaohsiung City","Y",1
2009,33,8,"Kaohsiung City","Y",1
2010,33,8,"Kaohsiung City","Y",1
2011,33,8,"Kaohsiung City","Y",3
2013,33,8,"Kaohsiung City","Y",1
2014,33,8,"Kaohsiung City","Y",2
2015,33,8,"Kaohsiung City","Y",1
2016,33,8,"Kaohsiung City","Y",1
2017,33,8,"Kaohsiung City","Y",2
2007,34,8,"Kaohsiung City","Y",1
2008,34,8,"Kaohsiung City","Y",1
2011,34,8,"Kaohsiung City","Y",1
2015,34,8,"Kaohsiung City","Y",4
2016,34,8,"Kaohsiung City","Y",1
2006,35,8,"Kaohsiung City","Y",1
2008,35,8,"Kaohsiung City","Y",1
2009,35,8,"Kaohsiung City","Y",1
2010,35,8,"Kaohsiung City","Y",1
2012,35,8,"Kaohsiung City","Y",2
2013,35,8,"Kaohsiung City","Y",2
2015,35,8,"Kaohsiung City","Y",2
2016,35,8,"Kaohsiung City","Y",2
2017,35,8,"Kaohsiung City","Y",1
2004,36,8,"Kaohsiung City","Y",1
2010,36,8,"Kaohsiung City","Y",1
2016,36,8,"Kaohsiung City","Y",2
2007,36,9,"Kaohsiung City","Y",1
2008,36,9,"Kaohsiung City","Y",2
2014,36,9,"Kaohsiung City","Y",1
2015,36,9,"Kaohsiung City","Y",2
2017,36,9,"Kaohsiung City","Y",1
1998,37,9,"Kaohsiung City","Y",1
1999,37,9,"Kaohsiung City","Y",1
2004,37,9,"Kaohsiung City","Y",1
2005,37,9,"Kaohsiung City","Y",1
2007,37,9,"Kaohsiung City","Y",1
2008,37,9,"Kaohsiung City","Y",1
2010,37,9,"Kaohsiung City","Y",1
2011,37,9,"Kaohsiung City","Y",1
2012,37,9,"Kaohsiung City","Y",1
2013,37,9,"Kaohsiung City","Y",1
2014,37,9,"Kaohsiung City","Y",2
2015,37,9,"Kaohsiung City","Y",2
2017,37,9,"Kaohsiung City","Y",1
2004,38,9,"Kaohsiung City","Y",1
2010,38,9,"Kaohsiung City","Y",3
2013,38,9,"Kaohsiung City","Y",1
2014,38,9,"Kaohsiung City","Y",2
2015,38,9,"Kaohsiung City","Y",3
2016,38,9,"Kaohsiung City","Y",1
2008,39,9,"Kaohsiung City","Y",1
2010,39,9,"Kaohsiung City","Y",2
2014,39,9,"Kaohsiung City","Y",2
2016,39,9,"Kaohsiung City","Y",1
2010,40,9,"Kaohsiung City","Y",2
2011,40,9,"Kaohsiung City","Y",1
2013,40,9,"Kaohsiung City","Y",1
2016,40,9,"Kaohsiung City","Y",1
2001,40,10,"Kaohsiung City","Y",1
2007,40,10,"Kaohsiung City","Y",1
2001,41,10,"Kaohsiung City","Y",1
2004,41,10,"Kaohsiung City","Y",1
2007,41,10,"Kaohsiung City","Y",1
2008,41,10,"Kaohsiung City","Y",1
2010,41,10,"Kaohsiung City","Y",2
2012,41,10,"Kaohsiung City","Y",1
2013,41,10,"Kaohsiung City","Y",1
2014,41,10,"Kaohsiung City","Y",3
2015,41,10,"Kaohsiung City","Y",2
2016,41,10,"Kaohsiung City","Y",2
2004,42,10,"Kaohsiung City","Y",1
2005,42,10,"Kaohsiung City","Y",1
2007,42,10,"Kaohsiung City","Y",2
2013,42,10,"Kaohsiung City","Y",1
2015,42,10,"Kaohsiung City","Y",3
2016,42,10,"Kaohsiung City","Y",1
2017,42,10,"Kaohsiung City","Y",1
2001,43,10,"Kaohsiung City","Y",1
2005,43,10,"Kaohsiung City","Y",1
2009,43,10,"Kaohsiung City","Y",1
2011,43,10,"Kaohsiung City","Y",1
2014,43,10,"Kaohsiung City","Y",3
2015,43,10,"Kaohsiung City","Y",2
2003,44,10,"Kaohsiung City","Y",1
2010,44,10,"Kaohsiung City","Y",1
2013,44,10,"Kaohsiung City","Y",1
2014,44,10,"Kaohsiung City","Y",1
2015,44,10,"Kaohsiung City","Y",1
2016,44,10,"Kaohsiung City","Y",1
2014,44,11,"Kaohsiung City","Y",1
2017,44,11,"Kaohsiung City","Y",1
2001,45,11,"Kaohsiung City","Y",2
2007,45,11,"Kaohsiung City","Y",2
2009,45,11,"Kaohsiung City","Y",3
2013,45,11,"Kaohsiung City","Y",1
2014,45,11,"Kaohsiung City","Y",1
2004,46,11,"Kaohsiung City","Y",1
