"year","weeknum","month","MOI_County_living","Imported","Number_of_confirmed_cases"
2002,32,8,"Kaohsiung City","N",190
2006,32,8,"Kaohsiung City","N",13
2007,32,8,"Kaohsiung City","N",2
2008,32,8,"Kaohsiung City","N",12
2009,32,8,"Kaohsiung City","N",26
2010,32,8,"Kaohsiung City","N",3
2011,32,8,"Kaohsiung City","N",3
2012,32,8,"Kaohsiung City","N",1
2014,32,8,"Kaohsiung City","N",136
2015,32,8,"Kaohsiung City","N",38
2016,32,8,"Kaohsiung City","N",1
1998,33,8,"Kaohsiung City","N",1
1999,33,8,"Kaohsiung City","N",2
2002,33,8,"Kaohsiung City","N",213
2005,33,8,"Kaohsiung City","N",4
2006,33,8,"Kaohsiung City","N",36
2007,33,8,"Kaohsiung City","N",2
2008,33,8,"Kaohsiung City","N",13
2009,33,8,"Kaohsiung City","N",14
2010,33,8,"Kaohsiung City","N",3
2011,33,8,"Kaohsiung City","N",7
2012,33,8,"Kaohsiung City","N",11
2014,33,8,"Kaohsiung City","N",231
2015,33,8,"Kaohsiung City","N",63
1999,34,8,"Kaohsiung City","N",2
2000,34,8,"Kaohsiung City","N",1
2002,34,8,"Kaohsiung City","N",278
2005,34,8,"Kaohsiung City","N",4
2006,34,8,"Kaohsiung City","N",35
2007,34,8,"Kaohsiung City","N",2
2008,34,8,"Kaohsiung City","N",22
2009,34,8,"Kaohsiung City","N",13
2010,34,8,"Kaohsiung City","N",25
2011,34,8,"Kaohsiung City","N",31
2012,34,8,"Kaohsiung City","N",7
2013,34,8,"Kaohsiung City","N",1
2014,34,8,"Kaohsiung City","N",226
2015,34,8,"Kaohsiung City","N",138
2002,35,8,"Kaohsiung City","N",238
2005,35,8,"Kaohsiung City","N",4
2006,35,8,"Kaohsiung City","N",18
2007,35,8,"Kaohsiung City","N",1
2008,35,8,"Kaohsiung City","N",15
2009,35,8,"Kaohsiung City","N",3
2010,35,8,"Kaohsiung City","N",19
2011,35,8,"Kaohsiung City","N",47
2012,35,8,"Kaohsiung City","N",15
2014,35,8,"Kaohsiung City","N",237
2015,35,8,"Kaohsiung City","N",135
2005,36,8,"Kaohsiung City","N",6
2008,36,8,"Kaohsiung City","N",3
2009,36,8,"Kaohsiung City","N",1
2010,36,8,"Kaohsiung City","N",6
2011,36,8,"Kaohsiung City","N",29
2014,36,8,"Kaohsiung City","N",43
2015,36,8,"Kaohsiung City","N",62
2001,35,9,"Kaohsiung City","N",1
2006,35,9,"Kaohsiung City","N",9
2012,35,9,"Kaohsiung City","N",4
2002,36,9,"Kaohsiung City","N",353
2004,36,9,"Kaohsiung City","N",1
2005,36,9,"Kaohsiung City","N",3
2006,36,9,"Kaohsiung City","N",25
2007,36,9,"Kaohsiung City","N",2
2008,36,9,"Kaohsiung City","N",7
2009,36,9,"Kaohsiung City","N",5
2010,36,9,"Kaohsiung City","N",22
2011,36,9,"Kaohsiung City","N",13
2012,36,9,"Kaohsiung City","N",14
2013,36,9,"Kaohsiung City","N",2
2014,36,9,"Kaohsiung City","N",324
2015,36,9,"Kaohsiung City","N",240
1998,37,9,"Kaohsiung City","N",5
2002,37,9,"Kaohsiung City","N",289
2004,37,9,"Kaohsiung City","N",2
2005,37,9,"Kaohsiung City","N",3
2006,37,9,"Kaohsiung City","N",47
2007,37,9,"Kaohsiung City","N",2
2008,37,9,"Kaohsiung City","N",17
2009,37,9,"Kaohsiung City","N",7
2010,37,9,"Kaohsiung City","N",36
2011,37,9,"Kaohsiung City","N",25
2012,37,9,"Kaohsiung City","N",24
2014,37,9,"Kaohsiung City","N",436
2015,37,9,"Kaohsiung City","N",390
2001,38,9,"Kaohsiung City","N",1
2002,38,9,"Kaohsiung City","N",256
2003,38,9,"Kaohsiung City","N",2
2004,38,9,"Kaohsiung City","N",1
2005,38,9,"Kaohsiung City","N",8
2006,38,9,"Kaohsiung City","N",37
2007,38,9,"Kaohsiung City","N",1
2008,38,9,"Kaohsiung City","N",8
2009,38,9,"Kaohsiung City","N",8
2010,38,9,"Kaohsiung City","N",68
2011,38,9,"Kaohsiung City","N",27
2012,38,9,"Kaohsiung City","N",15
2014,38,9,"Kaohsiung City","N",522
2015,38,9,"Kaohsiung City","N",571
1998,39,9,"Kaohsiung City","N",10
2001,39,9,"Kaohsiung City","N",2
2002,39,9,"Kaohsiung City","N",245
2003,39,9,"Kaohsiung City","N",7
2004,39,9,"Kaohsiung City","N",1
2005,39,9,"Kaohsiung City","N",3
2006,39,9,"Kaohsiung City","N",48
2008,39,9,"Kaohsiung City","N",2
2009,39,9,"Kaohsiung City","N",10
2010,39,9,"Kaohsiung City","N",52
2011,39,9,"Kaohsiung City","N",28
2012,39,9,"Kaohsiung City","N",25
2014,39,9,"Kaohsiung City","N",582
2015,39,9,"Kaohsiung City","N",559
1998,40,9,"Kaohsiung City","N",1
2001,40,9,"Kaohsiung City","N",1
2002,40,9,"Kaohsiung City","N",70
2003,40,9,"Kaohsiung City","N",1
2004,40,9,"Kaohsiung City","N",1
2005,40,9,"Kaohsiung City","N",4
2008,40,9,"Kaohsiung City","N",3
2009,40,9,"Kaohsiung City","N",6
2010,40,9,"Kaohsiung City","N",45
2011,40,9,"Kaohsiung City","N",31
2012,40,9,"Kaohsiung City","N",3
2014,40,9,"Kaohsiung City","N",328
2015,40,9,"Kaohsiung City","N",347
2001,40,10,"Kaohsiung City","N",18
2002,40,10,"Kaohsiung City","N",174
2003,40,10,"Kaohsiung City","N",6
2004,40,10,"Kaohsiung City","N",2
2005,40,10,"Kaohsiung City","N",2
2006,40,10,"Kaohsiung City","N",53
2007,40,10,"Kaohsiung City","N",3
2008,40,10,"Kaohsiung City","N",4
2009,40,10,"Kaohsiung City","N",1
2010,40,10,"Kaohsiung City","N",30
2011,40,10,"Kaohsiung City","N",6
2012,40,10,"Kaohsiung City","N",33
2014,40,10,"Kaohsiung City","N",529
2015,40,10,"Kaohsiung City","N",301
1998,41,10,"Kaohsiung City","N",3
2001,41,10,"Kaohsiung City","N",6
2002,41,10,"Kaohsiung City","N",205
2003,41,10,"Kaohsiung City","N",3
2004,41,10,"Kaohsiung City","N",3
2005,41,10,"Kaohsiung City","N",3
